Date,DayOfWeek,Source,Destination,DepartureTime,SeatsAvailable,Bookings,Price,Holiday,Weather,EventNearby
2025-03-19,Wednesday,Pune,Chennai,18:00,40,31,649,No,Cloudy,No
2025-01-18,Saturday,Pune,Hyderabad,06:00,40,26,711,No,Cloudy,Yes
2025-02-09,Sunday,Mumbai,Bangalore,21:00,40,38,701,No,Rainy,Yes
2025-06-01,Sunday,Chennai,Pune,09:00,40,27,727,No,Clear,Yes
2025-04-29,Tuesday,Pune,Mumbai,12:00,40,24,607,Yes,Cloudy,Yes
2025-03-13,Thursday,Pune,Hyderabad,18:00,40,40,742,Yes,Clear,Yes
2025-03-03,Monday,Mumbai,Pune,15:00,40,25,603,No,Clear,Yes
2025-06-19,Thursday,Pune,Hyderabad,15:00,40,33,705,No,Cloudy,No
2025-03-26,Wednesday,Chennai,Mumbai,12:00,40,20,530,No,Clear,Yes
2025-05-18,Sunday,Hyderabad,Bangalore,09:00,40,34,704,No,Cloudy,No
2025-06-02,Monday,Chennai,Bangalore,09:00,40,13,535,No,Cloudy,Yes
2025-01-12,Sunday,Bangalore,Pune,21:00,40,24,523,No,Rainy,No
2025-05-27,Tuesday,Chennai,Mumbai,15:00,40,18,612,No,Clear,No
2025-01-30,Thursday,Bangalore,Mumbai,15:00,40,14,547,Yes,Rainy,No
2025-01-22,Wednesday,Hyderabad,Chennai,18:00,40,28,738,No,Rainy,No
2025-05-14,Wednesday,Mumbai,Pune,15:00,40,16,638,No,Rainy,No
2025-01-16,Thursday,Pune,Chennai,09:00,40,15,536,No,Cloudy,No
2025-02-14,Friday,Pune,Chennai,09:00,40,29,553,Yes,Cloudy,No
2025-03-01,Saturday,Chennai,Pune,21:00,40,18,650,No,Clear,No
2025-05-31,Saturday,Hyderabad,Mumbai,06:00,40,20,515,No,Rainy,Yes
2025-02-12,Wednesday,Chennai,Pune,15:00,40,23,653,Yes,Rainy,No
2025-05-07,Wednesday,Mumbai,Chennai,18:00,40,33,571,Yes,Cloudy,No
2025-01-24,Friday,Hyderabad,Chennai,21:00,40,35,707,No,Rainy,Yes
2025-06-16,Monday,Mumbai,Hyderabad,09:00,40,25,548,No,Cloudy,No
2025-05-01,Thursday,Chennai,Mumbai,12:00,40,20,605,No,Clear,No
2025-06-27,Friday,Mumbai,Hyderabad,21:00,40,14,552,No,Rainy,Yes
2025-01-30,Thursday,Mumbai,Chennai,21:00,40,16,612,No,Cloudy,No
2025-04-03,Thursday,Pune,Mumbai,21:00,40,30,623,No,Clear,Yes
2025-04-23,Wednesday,Mumbai,Chennai,06:00,40,31,634,No,Rainy,No
2025-05-22,Thursday,Bangalore,Mumbai,06:00,40,13,630,No,Clear,No
2025-02-09,Sunday,Mumbai,Hyderabad,18:00,40,25,587,No,Cloudy,No
2025-04-27,Sunday,Pune,Bangalore,15:00,40,14,667,Yes,Rainy,No
2025-04-17,Thursday,Chennai,Pune,06:00,40,28,708,No,Cloudy,No
2025-05-06,Tuesday,Hyderabad,Mumbai,18:00,40,27,631,No,Cloudy,No
2025-04-27,Sunday,Chennai,Hyderabad,21:00,40,39,606,No,Cloudy,Yes
2025-03-23,Sunday,Mumbai,Pune,15:00,40,24,552,No,Rainy,No
2025-05-09,Friday,Pune,Hyderabad,06:00,40,26,714,No,Cloudy,Yes
2025-02-06,Thursday,Mumbai,Bangalore,06:00,40,32,661,No,Cloudy,No
2025-06-16,Monday,Bangalore,Pune,21:00,40,30,733,No,Cloudy,No
2025-05-05,Monday,Pune,Chennai,18:00,40,19,518,Yes,Rainy,No
2025-04-22,Tuesday,Bangalore,Chennai,15:00,40,15,489,Yes,Cloudy,No
2025-03-17,Monday,Chennai,Pune,15:00,40,33,609,Yes,Rainy,No
2025-01-21,Tuesday,Pune,Mumbai,18:00,40,14,529,No,Cloudy,No
2025-04-29,Tuesday,Chennai,Mumbai,12:00,40,31,694,No,Cloudy,No
2025-02-10,Monday,Bangalore,Mumbai,12:00,40,23,691,No,Cloudy,No
2025-03-06,Thursday,Mumbai,Hyderabad,09:00,40,26,677,No,Cloudy,Yes
2025-03-17,Monday,Chennai,Bangalore,21:00,40,31,754,No,Clear,No
2025-01-13,Monday,Pune,Mumbai,12:00,40,21,561,No,Clear,No
2025-06-12,Thursday,Hyderabad,Pune,21:00,40,11,479,No,Rainy,No
2025-06-10,Tuesday,Bangalore,Pune,15:00,40,16,563,Yes,Cloudy,No
2025-04-17,Thursday,Hyderabad,Bangalore,09:00,40,18,532,No,Cloudy,No
2025-03-07,Friday,Mumbai,Hyderabad,21:00,40,12,496,No,Clear,No
2025-02-27,Thursday,Mumbai,Hyderabad,06:00,40,18,584,No,Clear,Yes
2025-06-22,Sunday,Chennai,Mumbai,21:00,40,25,531,No,Clear,No
2025-06-08,Sunday,Pune,Hyderabad,18:00,40,24,699,No,Clear,No
2025-03-19,Wednesday,Mumbai,Chennai,09:00,40,27,559,Yes,Clear,No
2025-03-02,Sunday,Pune,Bangalore,15:00,40,29,652,No,Rainy,No
2025-05-31,Saturday,Hyderabad,Mumbai,21:00,40,20,676,Yes,Cloudy,No
2025-04-05,Saturday,Hyderabad,Mumbai,15:00,40,35,714,No,Cloudy,Yes
2025-06-15,Sunday,Chennai,Bangalore,15:00,40,24,543,No,Clear,No
2025-06-19,Thursday,Hyderabad,Chennai,06:00,40,35,719,No,Clear,No
2025-02-22,Saturday,Bangalore,Hyderabad,18:00,40,14,622,No,Clear,No
2025-01-01,Wednesday,Chennai,Hyderabad,09:00,40,13,468,No,Clear,Yes
2025-04-02,Wednesday,Hyderabad,Pune,06:00,40,27,656,Yes,Clear,Yes
2025-04-25,Friday,Chennai,Bangalore,15:00,40,37,749,No,Rainy,Yes
2025-01-08,Wednesday,Bangalore,Mumbai,15:00,40,24,538,No,Clear,No
2025-01-21,Tuesday,Chennai,Hyderabad,06:00,40,29,697,Yes,Rainy,No
2025-05-16,Friday,Chennai,Mumbai,18:00,40,13,632,No,Clear,No
2025-06-16,Monday,Pune,Bangalore,15:00,40,24,622,No,Clear,No
2025-04-17,Thursday,Bangalore,Pune,15:00,40,14,645,No,Cloudy,No
2025-05-02,Friday,Bangalore,Chennai,06:00,40,24,662,Yes,Clear,No
2025-01-16,Thursday,Pune,Hyderabad,21:00,40,39,779,Yes,Cloudy,No
2025-01-14,Tuesday,Chennai,Pune,12:00,40,38,679,Yes,Rainy,Yes
2025-05-23,Friday,Chennai,Bangalore,12:00,40,34,729,No,Cloudy,No
2025-06-07,Saturday,Pune,Chennai,18:00,40,16,675,No,Rainy,Yes
2025-03-21,Friday,Chennai,Pune,06:00,40,24,556,Yes,Clear,No
2025-06-12,Thursday,Bangalore,Chennai,21:00,40,20,540,No,Cloudy,No
2025-04-05,Saturday,Chennai,Pune,18:00,40,36,752,No,Clear,Yes
2025-01-21,Tuesday,Chennai,Mumbai,21:00,40,17,678,No,Rainy,No
2025-05-12,Monday,Bangalore,Pune,15:00,40,28,596,Yes,Rainy,No
2025-04-12,Saturday,Pune,Chennai,06:00,40,34,635,No,Clear,No
2025-03-16,Sunday,Chennai,Bangalore,06:00,40,25,653,No,Cloudy,Yes
2025-05-24,Saturday,Chennai,Bangalore,15:00,40,24,539,No,Clear,No
2025-03-22,Saturday,Pune,Mumbai,18:00,40,11,460,No,Rainy,No
2025-03-25,Tuesday,Hyderabad,Mumbai,21:00,40,13,527,No,Clear,No
2025-04-22,Tuesday,Pune,Mumbai,18:00,40,21,704,Yes,Cloudy,No
2025-02-13,Thursday,Bangalore,Chennai,18:00,40,30,587,No,Cloudy,No
2025-03-02,Sunday,Bangalore,Hyderabad,12:00,40,36,706,Yes,Rainy,Yes
2025-04-29,Tuesday,Pune,Mumbai,21:00,40,27,695,No,Rainy,No
2025-03-22,Saturday,Hyderabad,Mumbai,06:00,40,15,489,No,Rainy,No
2025-04-01,Tuesday,Pune,Chennai,12:00,40,21,670,No,Clear,Yes
2025-01-24,Friday,Pune,Mumbai,15:00,40,21,671,No,Rainy,No
2025-02-18,Tuesday,Chennai,Mumbai,18:00,40,39,777,Yes,Clear,No
2025-01-22,Wednesday,Pune,Bangalore,06:00,40,26,663,No,Cloudy,No
2025-06-06,Friday,Hyderabad,Pune,12:00,40,20,673,No,Cloudy,No
2025-06-03,Tuesday,Bangalore,Pune,06:00,40,17,670,No,Rainy,No
2025-06-18,Wednesday,Pune,Bangalore,12:00,40,29,697,Yes,Rainy,Yes
2025-01-22,Wednesday,Chennai,Mumbai,21:00,40,33,740,No,Clear,No
2025-05-15,Thursday,Bangalore,Mumbai,18:00,40,16,567,No,Cloudy,No
2025-05-05,Monday,Hyderabad,Bangalore,09:00,40,15,644,Yes,Cloudy,No
2025-03-28,Friday,Pune,Bangalore,18:00,40,35,759,No,Clear,Yes
2025-04-23,Wednesday,Bangalore,Mumbai,12:00,40,29,617,No,Clear,No
2025-04-25,Friday,Hyderabad,Bangalore,12:00,40,16,574,No,Cloudy,No
2025-06-23,Monday,Pune,Mumbai,15:00,40,23,556,No,Cloudy,No
2025-02-21,Friday,Pune,Bangalore,12:00,40,29,727,Yes,Cloudy,No
2025-05-13,Tuesday,Bangalore,Pune,06:00,40,26,567,No,Cloudy,No
2025-04-22,Tuesday,Bangalore,Hyderabad,15:00,40,22,638,No,Clear,No
2025-04-06,Sunday,Hyderabad,Mumbai,06:00,40,13,647,No,Clear,No
2025-06-16,Monday,Chennai,Hyderabad,09:00,40,19,609,Yes,Cloudy,No
2025-06-07,Saturday,Bangalore,Chennai,06:00,40,33,720,No,Clear,No
2025-05-16,Friday,Mumbai,Chennai,12:00,40,28,556,No,Clear,Yes
2025-01-29,Wednesday,Mumbai,Chennai,21:00,40,19,604,No,Clear,No
2025-01-01,Wednesday,Pune,Hyderabad,09:00,40,12,594,No,Clear,No
2025-04-03,Thursday,Bangalore,Chennai,15:00,40,21,569,No,Clear,No
2025-01-05,Sunday,Chennai,Bangalore,12:00,40,31,743,No,Rainy,No
2025-03-27,Thursday,Hyderabad,Chennai,12:00,40,36,702,No,Rainy,Yes
2025-06-11,Wednesday,Hyderabad,Bangalore,06:00,40,18,541,No,Cloudy,Yes
2025-01-11,Saturday,Chennai,Pune,18:00,40,8,488,No,Rainy,No
2025-03-15,Saturday,Chennai,Bangalore,21:00,40,23,617,No,Clear,No
2025-04-23,Wednesday,Mumbai,Hyderabad,09:00,40,35,707,No,Cloudy,No
2025-03-10,Monday,Bangalore,Mumbai,06:00,40,20,526,No,Clear,No
2025-01-21,Tuesday,Chennai,Pune,12:00,40,30,639,No,Rainy,No
2025-04-25,Friday,Bangalore,Pune,18:00,40,35,589,No,Cloudy,No
2025-01-20,Monday,Mumbai,Hyderabad,18:00,40,10,623,No,Rainy,Yes
2025-04-23,Wednesday,Bangalore,Hyderabad,06:00,40,19,503,No,Rainy,No
2025-06-04,Wednesday,Hyderabad,Mumbai,12:00,40,26,623,No,Clear,No
2025-04-12,Saturday,Chennai,Pune,09:00,40,25,657,No,Clear,No
2025-04-10,Thursday,Pune,Chennai,12:00,40,27,712,No,Rainy,No
2025-05-06,Tuesday,Hyderabad,Chennai,09:00,40,37,607,No,Cloudy,Yes
2025-06-24,Tuesday,Chennai,Pune,21:00,40,23,645,Yes,Rainy,Yes
2025-02-27,Thursday,Bangalore,Hyderabad,09:00,40,31,674,No,Cloudy,Yes
2025-05-22,Thursday,Hyderabad,Chennai,06:00,40,24,716,No,Rainy,No
2025-04-15,Tuesday,Pune,Chennai,09:00,40,27,734,No,Rainy,Yes
2025-05-22,Thursday,Pune,Bangalore,09:00,40,26,569,No,Clear,No
2025-03-19,Wednesday,Hyderabad,Bangalore,12:00,40,26,602,No,Clear,No
2025-01-21,Tuesday,Chennai,Hyderabad,21:00,40,21,633,No,Cloudy,Yes
2025-06-14,Saturday,Hyderabad,Bangalore,09:00,40,17,495,No,Rainy,No
2025-01-08,Wednesday,Bangalore,Chennai,21:00,40,34,716,No,Cloudy,No
2025-04-17,Thursday,Pune,Chennai,15:00,40,23,690,No,Rainy,Yes
2025-04-14,Monday,Chennai,Mumbai,06:00,40,25,643,No,Clear,No
2025-02-22,Saturday,Chennai,Hyderabad,12:00,40,21,607,No,Cloudy,No
2025-02-03,Monday,Chennai,Bangalore,12:00,40,20,524,No,Clear,Yes
2025-01-13,Monday,Chennai,Mumbai,18:00,40,28,724,No,Clear,No
2025-03-22,Saturday,Hyderabad,Bangalore,15:00,40,19,622,No,Cloudy,No
2025-01-06,Monday,Bangalore,Mumbai,18:00,40,23,527,No,Clear,Yes
2025-03-14,Friday,Mumbai,Pune,12:00,40,18,676,No,Clear,No
2025-04-04,Friday,Mumbai,Hyderabad,06:00,40,18,563,No,Rainy,No
2025-01-19,Sunday,Mumbai,Pune,18:00,40,12,484,No,Rainy,No
2025-04-11,Friday,Chennai,Pune,18:00,40,31,683,No,Clear,Yes
2025-01-11,Saturday,Bangalore,Chennai,09:00,40,14,625,No,Cloudy,No
2025-05-12,Monday,Hyderabad,Pune,18:00,40,33,641,No,Cloudy,No
2025-06-01,Sunday,Chennai,Mumbai,21:00,40,21,589,No,Cloudy,No
2025-06-22,Sunday,Bangalore,Mumbai,18:00,40,29,697,No,Rainy,No
2025-05-02,Friday,Chennai,Hyderabad,21:00,40,38,764,Yes,Cloudy,Yes
2025-03-04,Tuesday,Bangalore,Chennai,09:00,40,26,635,Yes,Cloudy,No
2025-05-09,Friday,Pune,Mumbai,21:00,40,17,607,No,Rainy,Yes
2025-05-15,Thursday,Mumbai,Hyderabad,09:00,40,18,687,No,Rainy,No
2025-06-24,Tuesday,Chennai,Mumbai,09:00,40,17,561,No,Cloudy,No
2025-03-15,Saturday,Hyderabad,Mumbai,12:00,40,32,630,No,Rainy,No
2025-03-15,Saturday,Bangalore,Mumbai,15:00,40,21,593,No,Clear,Yes
2025-04-24,Thursday,Chennai,Mumbai,09:00,40,30,577,No,Rainy,Yes
2025-06-07,Saturday,Pune,Bangalore,09:00,40,19,579,Yes,Rainy,Yes
2025-05-01,Thursday,Bangalore,Hyderabad,06:00,40,25,647,No,Clear,No
2025-06-16,Monday,Hyderabad,Pune,12:00,40,12,626,No,Clear,No
2025-05-27,Tuesday,Hyderabad,Chennai,09:00,40,11,556,No,Clear,No
2025-05-07,Wednesday,Hyderabad,Pune,06:00,40,22,674,Yes,Rainy,No
2025-05-20,Tuesday,Pune,Mumbai,09:00,40,37,669,No,Cloudy,Yes
2025-02-11,Tuesday,Mumbai,Hyderabad,21:00,40,21,661,Yes,Rainy,No
2025-06-13,Friday,Mumbai,Pune,18:00,40,15,510,No,Cloudy,No
2025-05-03,Saturday,Chennai,Hyderabad,06:00,40,18,574,No,Clear,No
2025-03-19,Wednesday,Pune,Chennai,12:00,40,31,633,No,Rainy,Yes
2025-02-10,Monday,Mumbai,Hyderabad,21:00,40,20,534,Yes,Cloudy,No
2025-05-03,Saturday,Hyderabad,Mumbai,21:00,40,27,655,No,Cloudy,No
2025-05-18,Sunday,Hyderabad,Bangalore,21:00,40,26,710,No,Clear,No
2025-04-03,Thursday,Bangalore,Chennai,06:00,40,29,628,No,Rainy,Yes
2025-05-14,Wednesday,Mumbai,Chennai,21:00,40,24,534,No,Rainy,No
2025-04-27,Sunday,Hyderabad,Mumbai,15:00,40,33,750,No,Rainy,No
2025-01-06,Monday,Mumbai,Hyderabad,06:00,40,24,536,No,Rainy,Yes
2025-05-19,Monday,Bangalore,Chennai,15:00,40,23,612,Yes,Cloudy,Yes
2025-04-25,Friday,Mumbai,Pune,06:00,40,11,544,No,Rainy,No
2025-01-31,Friday,Hyderabad,Mumbai,18:00,40,36,656,Yes,Clear,No
2025-04-29,Tuesday,Pune,Mumbai,18:00,40,24,590,No,Clear,Yes
2025-02-18,Tuesday,Bangalore,Chennai,21:00,40,14,622,No,Clear,Yes
2025-01-09,Thursday,Mumbai,Chennai,09:00,40,27,590,No,Cloudy,No
2025-01-15,Wednesday,Hyderabad,Pune,09:00,40,25,722,No,Rainy,No
2025-06-22,Sunday,Chennai,Hyderabad,12:00,40,21,575,No,Rainy,No
2025-01-16,Thursday,Pune,Bangalore,21:00,40,18,661,No,Rainy,No
2025-04-08,Tuesday,Pune,Hyderabad,21:00,40,20,561,No,Clear,Yes
2025-02-27,Thursday,Chennai,Hyderabad,15:00,40,20,635,No,Rainy,No
2025-02-04,Tuesday,Mumbai,Bangalore,12:00,40,27,672,No,Rainy,Yes
2025-02-18,Tuesday,Bangalore,Pune,15:00,40,12,645,No,Rainy,Yes
2025-06-21,Saturday,Pune,Bangalore,15:00,40,10,504,No,Cloudy,No
2025-02-18,Tuesday,Bangalore,Mumbai,09:00,40,19,592,No,Rainy,Yes
2025-04-30,Wednesday,Pune,Hyderabad,12:00,40,23,699,No,Rainy,No
2025-05-01,Thursday,Chennai,Hyderabad,12:00,40,17,674,No,Clear,No
2025-02-07,Friday,Bangalore,Pune,18:00,40,18,540,No,Rainy,No
2025-03-26,Wednesday,Hyderabad,Mumbai,18:00,40,31,641,No,Cloudy,No
2025-03-07,Friday,Mumbai,Pune,15:00,40,40,738,Yes,Cloudy,Yes
2025-06-14,Saturday,Bangalore,Chennai,06:00,40,14,631,No,Rainy,Yes
2025-03-01,Saturday,Bangalore,Hyderabad,06:00,40,29,708,No,Cloudy,No
2025-06-20,Friday,Pune,Mumbai,21:00,40,23,518,No,Clear,No
2025-01-05,Sunday,Pune,Hyderabad,18:00,40,32,732,No,Clear,No
2025-04-21,Monday,Hyderabad,Chennai,06:00,40,30,640,No,Clear,Yes
2025-03-10,Monday,Mumbai,Chennai,12:00,40,32,617,No,Cloudy,No
2025-03-18,Tuesday,Bangalore,Chennai,06:00,40,11,618,No,Cloudy,No
2025-01-03,Friday,Hyderabad,Chennai,15:00,40,27,670,No,Rainy,No
2025-01-11,Saturday,Hyderabad,Bangalore,21:00,40,16,619,No,Cloudy,Yes
2025-05-25,Sunday,Bangalore,Hyderabad,12:00,40,39,614,Yes,Clear,No
2025-03-18,Tuesday,Hyderabad,Bangalore,18:00,40,27,619,No,Cloudy,No
2025-04-09,Wednesday,Hyderabad,Chennai,18:00,40,26,549,No,Cloudy,Yes
2025-03-29,Saturday,Pune,Mumbai,12:00,40,29,603,Yes,Cloudy,No
2025-04-02,Wednesday,Pune,Mumbai,15:00,40,15,657,Yes,Rainy,No
2025-01-19,Sunday,Bangalore,Pune,09:00,40,24,547,No,Rainy,Yes
2025-01-24,Friday,Bangalore,Pune,15:00,40,15,585,No,Cloudy,Yes
2025-04-25,Friday,Pune,Mumbai,06:00,40,33,663,Yes,Cloudy,No
2025-01-04,Saturday,Chennai,Mumbai,15:00,40,14,603,No,Rainy,No
2025-02-13,Thursday,Mumbai,Bangalore,09:00,40,12,502,No,Cloudy,No
2025-04-22,Tuesday,Chennai,Mumbai,12:00,40,17,669,No,Clear,No
2025-06-10,Tuesday,Mumbai,Bangalore,15:00,40,31,639,Yes,Cloudy,Yes
2025-04-23,Wednesday,Chennai,Mumbai,21:00,40,29,722,No,Clear,No
2025-02-21,Friday,Mumbai,Hyderabad,09:00,40,37,732,No,Cloudy,Yes
2025-03-04,Tuesday,Chennai,Mumbai,12:00,40,28,591,No,Cloudy,No
2025-06-01,Sunday,Pune,Bangalore,21:00,40,24,701,No,Clear,No
2025-02-23,Sunday,Mumbai,Hyderabad,21:00,40,18,551,Yes,Cloudy,No
2025-03-06,Thursday,Hyderabad,Mumbai,15:00,40,24,529,Yes,Rainy,No
2025-04-03,Thursday,Pune,Chennai,06:00,40,12,616,No,Rainy,No
2025-01-12,Sunday,Pune,Mumbai,12:00,40,17,541,No,Cloudy,Yes
2025-05-11,Sunday,Pune,Bangalore,15:00,40,28,716,No,Cloudy,No
2025-05-09,Friday,Hyderabad,Pune,06:00,40,12,489,No,Cloudy,No
2025-02-06,Thursday,Chennai,Pune,12:00,40,21,626,No,Clear,No
2025-01-25,Saturday,Mumbai,Pune,12:00,40,15,562,Yes,Clear,No
2025-06-15,Sunday,Bangalore,Hyderabad,21:00,40,20,643,No,Clear,No
2025-04-20,Sunday,Mumbai,Bangalore,15:00,40,23,616,No,Clear,No
2025-01-08,Wednesday,Pune,Bangalore,15:00,40,19,566,No,Cloudy,Yes
2025-06-30,Monday,Bangalore,Chennai,18:00,40,22,645,Yes,Cloudy,Yes
2025-06-13,Friday,Chennai,Mumbai,18:00,40,24,678,No,Clear,No
2025-02-14,Friday,Chennai,Bangalore,21:00,40,20,677,Yes,Clear,Yes
2025-02-06,Thursday,Pune,Mumbai,15:00,40,13,627,No,Rainy,No
2025-05-18,Sunday,Hyderabad,Bangalore,15:00,40,24,678,No,Clear,No
2025-01-14,Tuesday,Chennai,Bangalore,15:00,40,31,659,Yes,Cloudy,No
2025-06-25,Wednesday,Mumbai,Pune,21:00,40,30,744,No,Cloudy,Yes
2025-02-26,Wednesday,Chennai,Bangalore,12:00,40,29,685,No,Cloudy,Yes
2025-05-11,Sunday,Bangalore,Chennai,12:00,40,34,580,No,Cloudy,No
2025-04-23,Wednesday,Pune,Bangalore,15:00,40,19,562,Yes,Rainy,No
2025-03-31,Monday,Bangalore,Mumbai,06:00,40,37,766,No,Clear,Yes
2025-06-06,Friday,Mumbai,Bangalore,18:00,40,37,730,Yes,Clear,No
2025-03-31,Monday,Pune,Hyderabad,18:00,40,19,569,No,Cloudy,No
2025-05-27,Tuesday,Chennai,Bangalore,09:00,40,18,657,No,Cloudy,No
2025-02-02,Sunday,Hyderabad,Bangalore,09:00,40,31,655,No,Clear,No
2025-05-06,Tuesday,Hyderabad,Pune,21:00,40,37,688,No,Cloudy,Yes
2025-05-12,Monday,Chennai,Pune,15:00,40,34,757,No,Cloudy,No
